,ind_engaj
6630818,1.0
6630821,1.0
6630826,1.0
6630832,1.0
6630838,1.0
6630849,1.0
6630859,1.0
6630867,0.0
6630868,0.0
6630869,1.0
6630871,1.0
6630873,0.0
6630874,1.0
6630878,1.0
6630882,1.0
6630889,0.0
6630900,1.0
6630902,1.0
6630905,0.0
6630911,0.0
6630912,1.0
6630915,0.0
6630927,0.0
6630939,0.0
6630943,1.0
6630957,0.0
6630961,1.0
6630963,1.0
6630964,0.0
6630965,1.0
6630966,0.0
6630973,0.0
6630975,0.0
6630977,0.0
6630978,0.0
6630981,1.0
6630983,0.0
6630989,1.0
6631002,0.0
6631004,1.0
6631006,1.0
6631008,0.0
6631014,0.0
6631017,0.0
6631018,1.0
6631019,1.0
6631020,0.0
6631022,1.0
6631025,1.0
6631028,1.0
6631031,1.0
6631053,0.0
6631057,0.0
6631062,0.0
6631063,1.0
6631066,1.0
6631069,1.0
6631070,0.0
6631078,1.0
6631079,1.0
6631082,1.0
6631098,1.0
6631099,0.0
6631104,1.0
6631108,0.0
6631115,1.0
6631116,1.0
6631117,1.0
6631118,1.0
6631119,1.0
6631121,0.0
6631124,1.0
6631129,0.0
6631132,1.0
6631138,0.0
6631139,1.0
6631141,1.0
6631149,1.0
6631152,1.0
6631164,0.0
6631172,1.0
6631173,0.0
6631177,1.0
6631187,1.0
6631201,0.0
6631205,1.0
6631206,1.0
6631207,0.0
6631209,1.0
6631211,1.0
6631218,1.0
6631227,0.0
6631229,1.0
6631230,1.0
6631231,0.0
6631240,1.0
6631245,0.0
6631251,1.0
6631254,0.0
6631257,1.0
6631258,1.0
6631260,0.0
6631264,1.0
6631268,1.0
6631276,1.0
6631277,1.0
6631279,1.0
6631280,1.0
6631283,0.0
6631286,0.0
6631291,1.0
6631294,1.0
6631298,1.0
6631299,1.0
6631305,0.0
6631316,1.0
6631317,1.0
6631323,1.0
6631324,0.0
6631327,1.0
6631330,1.0
6631336,0.0
6631337,0.0
6631340,0.0
6631343,1.0
6631345,0.0
6631348,0.0
6631354,0.0
6631361,0.0
6631364,0.0
6631368,1.0
6631376,1.0
6631384,1.0
6631386,0.0
6631393,0.0
6631400,0.0
6631401,1.0
6631407,0.0
6631425,1.0
6631430,0.0
6631449,1.0
6631452,1.0
6631453,1.0
6631455,1.0
6631456,0.0
6631457,0.0
6631459,0.0
6631461,1.0
6631468,1.0
6631476,0.0
6631483,1.0
6631484,1.0
6631487,1.0
6631488,0.0
6631491,1.0
6631492,1.0
6631497,1.0
6631499,1.0
6631502,1.0
6631505,0.0
6631512,1.0
6631526,1.0
6631545,0.0
6631546,1.0
6631552,0.0
6631559,0.0
6631561,0.0
6631564,0.0
6631572,0.0
6631578,1.0
6631586,1.0
6631589,0.0
6631591,0.0
6631594,1.0
6631596,1.0
6631610,0.0
6631611,0.0
6631616,1.0
6631618,0.0
6631621,1.0
6631627,1.0
6631635,0.0
6631644,1.0
6631647,1.0
6631656,1.0
6631657,1.0
6631663,0.0
6631666,1.0
6631667,1.0
6631675,0.0
6631677,0.0
6631679,1.0
6631700,1.0
6631710,0.0
6631713,0.0
6631714,1.0
6631717,1.0
6631718,1.0
6631725,1.0
6631726,1.0
6631727,1.0
6631728,0.0
6631736,0.0
6631741,1.0
6631742,1.0
6631748,0.0
6631750,0.0
6631756,1.0
6631758,0.0
6631759,1.0
6631760,1.0
6631763,1.0
6631767,1.0
6631768,1.0
6631770,1.0
6631784,1.0
6631786,0.0
6631793,1.0
6631799,1.0
6631801,1.0
6631806,0.0
6631811,0.0
6631816,0.0
6631817,1.0
6631821,1.0
6631829,1.0
6631834,0.0
6631838,0.0
6631840,1.0
6631844,0.0
6631861,0.0
6631870,0.0
6631871,0.0
6631872,0.0
6631873,0.0
6631874,1.0
6631882,0.0
6631883,0.0
6631890,1.0
6631893,0.0
6631897,0.0
6631902,1.0
6631905,0.0
6631908,0.0
6631909,0.0
6631916,0.0
6631919,1.0
6631932,0.0
6631936,1.0
6631947,1.0
6631952,1.0
6631957,1.0
6631958,0.0
6631959,0.0
6631968,1.0
6631970,1.0
6631971,1.0
6631972,0.0
6631973,1.0
6631974,1.0
6631975,0.0
6631977,1.0
6631979,1.0
6631981,1.0
6631987,0.0
6631991,1.0
6631995,1.0
6632000,0.0
6632003,0.0
6632004,1.0
6632007,0.0
6632011,1.0
6632017,1.0
6632020,0.0
6632030,1.0
6632045,1.0
6632048,1.0
6632053,0.0
6632059,1.0
6632060,0.0
6632062,0.0
6632063,1.0
6632064,1.0
6632070,1.0
6632077,1.0
6632081,0.0
6632085,0.0
6632089,0.0
6632096,0.0
6632102,1.0
6632108,0.0
6632109,0.0
6632111,0.0
6632112,0.0
6632113,0.0
6632116,1.0
6632123,1.0
6632126,1.0
6632131,1.0
6632133,1.0
6632138,0.0
6632148,0.0
6632150,1.0
6632155,0.0
6632157,0.0
6632163,0.0
6632172,0.0
6632178,0.0
6632179,1.0
6632187,0.0
6632206,0.0
6632207,0.0
6632214,1.0
6632216,0.0
6632236,0.0
6632240,1.0
6632249,0.0
6632253,1.0
6632258,0.0
6632261,1.0
6632262,1.0
6632268,1.0
6632269,1.0
6632274,0.0
6632277,0.0
6632278,0.0
6632284,1.0
6632294,0.0
6632296,0.0
6632302,1.0
6632305,0.0
6632306,0.0
6632311,0.0
6632315,1.0
6632335,1.0
6632343,1.0
6632345,1.0
6632349,0.0
6632350,1.0
6632353,1.0
6632354,1.0
6632359,1.0
6632360,0.0
6632369,0.0
6632370,0.0
6632371,0.0
6632372,0.0
6632373,1.0
6632375,0.0
6632383,0.0
6632393,0.0
6632394,0.0
6632402,0.0
6632404,1.0
6632406,1.0
6632408,1.0
6632418,1.0
6632419,0.0
6632429,1.0
6632432,0.0
6632435,1.0
6632437,1.0
6632438,1.0
6632442,0.0
6632445,1.0
6632448,0.0
6632452,0.0
6632462,1.0
6632464,0.0
6632465,0.0
6632468,1.0
6632469,0.0
6632471,0.0
6632475,1.0
6632487,1.0
6632492,1.0
6632493,1.0
6632498,0.0
6632502,1.0
6632506,1.0
6632508,1.0
6632511,1.0
6632513,0.0
6632524,0.0
6632525,0.0
6632534,1.0
6632535,0.0
6632536,1.0
6632537,1.0
6632538,1.0
6632543,1.0
6632549,0.0
6632556,1.0
6632559,0.0
6632565,0.0
6632568,1.0
6632569,1.0
6632578,0.0
6632582,1.0
6632585,0.0
6632588,1.0
6632592,1.0
6632598,0.0
6632599,1.0
6632600,0.0
6632608,1.0
6632617,0.0
6632622,1.0
6632627,0.0
6632631,1.0
6632632,0.0
6632639,1.0
6632641,0.0
6632642,0.0
6632643,1.0
6632644,1.0
6632645,1.0
6632657,0.0
6632662,0.0
6632666,1.0
6632672,1.0
6632673,0.0
6632676,0.0
6632678,0.0
6632689,0.0
6632696,0.0
